pin,community,longitude,latitude
17-34-326-006-0000,DOUGLAS,-87.61891551597685,41.82518679036833
17-34-219-150-1347,DOUGLAS,-87.60982043539205,41.83183517544448
17-34-103-074-1037,DOUGLAS,-87.62154594725129,41.8380917408505
17-27-310-093-1634,DOUGLAS,-87.62257654590499,41.84022915750865
17-34-219-150-1263,DOUGLAS,-87.60982043539205,41.83183517544448
17-27-305-140-1083,DOUGLAS,-87.62145362762868,41.84519077284946
17-34-225-003-1133,DOUGLAS,-87.61216093417855,41.835709439299855
17-33-423-023-4034,DOUGLAS,-87.62713290912751,41.83073434249028
17-34-102-051-1119,DOUGLAS,-87.62267010705712,41.83683249550295
17-34-104-038-0000,DOUGLAS,-87.61975062342155,41.836788619240224
17-34-225-003-1034,DOUGLAS,-87.61216093417855,41.835709439299855
17-27-305-140-1085,DOUGLAS,-87.62145362762868,41.84519077284946
17-34-322-051-1001,DOUGLAS,-87.62436523401377,41.8248515936138
17-27-305-137-0000,DOUGLAS,-87.62148750628744,41.84433204898776
17-27-310-093-1123,DOUGLAS,-87.62257654590499,41.84022915750865
17-34-122-011-0000,DOUGLAS,-87.61906771057056,41.83407147742254
17-34-319-022-1006,DOUGLAS,-87.61767310207496,41.827240260204704
17-34-427-019-0000,DOUGLAS,-87.61231236563134,41.82635700531886
17-34-219-150-1362,DOUGLAS,-87.60982043539205,41.83183517544448
17-27-310-093-1367,DOUGLAS,-87.62257654590499,41.84022915750865
17-33-222-006-0000,DOUGLAS,-87.62754237415106,41.83380248121709
17-34-103-074-1056,DOUGLAS,-87.62154594725129,41.8380917408505
17-33-422-011-0000,DOUGLAS,-87.62809366550024,41.83012512382022
17-34-219-150-1075,DOUGLAS,-87.60982043539205,41.83183517544448
17-27-305-135-0000,DOUGLAS,-87.62163939423974,41.84432992973133
17-34-123-019-0000,DOUGLAS,-87.6178119078549,41.83345477665819
17-27-305-140-1019,DOUGLAS,-87.62145362762868,41.84519077284946
17-34-106-034-0000,DOUGLAS,-87.61788937817772,41.83701032943938
17-27-305-140-1054,DOUGLAS,-87.62145362762868,41.84519077284946
17-27-310-093-1599,DOUGLAS,-87.62257654590499,41.84022915750865
17-34-310-017-0000,DOUGLAS,-87.62016543036836,41.82969646114227
17-27-304-155-0000,DOUGLAS,-87.62315880200612,41.84422835881406
17-34-110-006-0000,DOUGLAS,-87.62151522084207,41.83600850731787
17-34-312-055-0000,DOUGLAS,-87.61775232149238,41.82965676726718
17-27-310-093-1597,DOUGLAS,-87.62257654590499,41.84022915750865
17-34-105-024-0000,DOUGLAS,-87.61899844134486,41.83673622004842
17-34-300-027-0000,DOUGLAS,-87.62545284527368,41.83016939213136
17-27-310-093-1501,DOUGLAS,-87.62257654590499,41.84022915750865
17-34-116-013-0000,DOUGLAS,-87.62286154449114,41.83355842102252
17-27-304-139-0000,DOUGLAS,-87.62243168459696,41.84484052121481
17-27-310-093-1278,DOUGLAS,-87.62257654590499,41.84022915750865
17-34-219-150-1154,DOUGLAS,-87.60982043539205,41.83183517544448
17-34-219-150-1379,DOUGLAS,-87.60982043539205,41.83183517544448
17-34-102-051-1005,DOUGLAS,-87.62267010705712,41.83683249550295
17-34-219-150-1138,DOUGLAS,-87.60982043539205,41.83183517544448
17-34-219-150-1030,DOUGLAS,-87.60982043539205,41.83183517544448
17-34-428-003-0000,DOUGLAS,-87.61400521312736,41.825425450880594
17-27-310-093-1622,DOUGLAS,-87.62257654590499,41.84022915750865
17-27-304-134-0000,DOUGLAS,-87.6228016965373,41.8448353335152
17-34-219-150-1232,DOUGLAS,-87.60982043539205,41.83183517544448
17-27-301-042-0000,DOUGLAS,-87.62444926101112,41.8436170904565
17-27-310-093-1258,DOUGLAS,-87.62257654590499,41.84022915750865
17-34-323-069-1003,DOUGLAS,-87.62266822295696,41.82596006598825
17-34-315-024-0000,DOUGLAS,-87.62208049056453,41.82736847834834
17-27-314-017-0000,DOUGLAS,-87.61829969483867,41.84179729632411
17-34-323-049-0000,DOUGLAS,-87.62207289192193,41.82524933620551
17-34-219-150-1222,DOUGLAS,-87.60982043539205,41.83183517544448
17-33-423-022-4011,DOUGLAS,-87.62685014528044,41.83025464641525
17-27-310-093-1582,DOUGLAS,-87.62257654590499,41.84022915750865
17-34-311-078-0000,DOUGLAS,-87.6185385385012,41.82829652855364
17-34-219-150-1259,DOUGLAS,-87.60982043539205,41.83183517544448
17-27-310-093-1364,DOUGLAS,-87.62257654590499,41.84022915750865
17-34-326-041-0000,DOUGLAS,-87.61848663820314,41.82429259260132
17-34-310-044-0000,DOUGLAS,-87.62013248009768,41.82813933807924
17-33-423-023-4058,DOUGLAS,-87.62713290912751,41.83073434249028
17-34-123-056-0000,DOUGLAS,-87.61777745734146,41.83174073895953
